ID;Statement;Keywords;Degree difficulty;Course;Chapter;University
415;How many Turkeys are raised in the United States each year (2004 estimate)?;;0.45;History;Thanksgiving;University of Pitesti
416;What is the piece of skin hanging down from a turkey's neck called?;;0.7;History;Thanksgiving;University of Pitesti
417;"Which meal was typically the ""Big Meal"" of the day for the colonists?";;0.68;History;Thanksgiving;University of Pitesti
418;Egyptian farmers wept when they harvested their corn. What was the rational for this display of emotion?;;0.77;History;Thanksgiving;University of Pitesti
419;The Pilgrims who organized the Mayflower journey were Puritan Separatist.  Of the 102 sailing how many were non-separatists?;;0.91;History;Thanksgiving;University of Pitesti
420;After a 40-year campaign of writing letters to governors and presidents, this magazine editor convinced Abraham Lincoln to proclaim the last Thursday in November as our Nations Day  of Thanksgiving.;;0.47;History;Thanksgiving;University of Pitesti
421;In Autumn, the Greeks had a Thanksgiving celebration (Harvest Festival) honoring the Goddess, Demeter.  What was the name of this festival?;;0.24;History;Thanksgiving;University of Pitesti
422;The Puritans who sailed to Plymouth Rock were part of a larger group of Puritan believers who eventually accomplished this?;;0.43;History;Thanksgiving;University of Pitesti
423;What was the name of the Indian Tribe that befriended the Pilgrims of Plymouth Plantation?;;0.41;History;Thanksgiving;University of Pitesti
424;This state is tops in turkey production, with 49 million of these birds raised as of 2004?;;0.38;History;Thanksgiving;University of Pitesti
425;Approximately what quantity of turkey is consumed by the average American each year?;;0.08;History;Thanksgiving;University of Pitesti
426;This utensil never saw the table at the first Thanksgiving Dinner (They did not use these)?;;0.98;History;Thanksgiving;University of Pitesti
427;This plant was unknown to the Europeans prior to meeting with the Indians of the new world?;;0.39;History;Thanksgiving;University of Pitesti
428;What was different about the manner in which food was served in the seventeenth century?;;0.34;History;Thanksgiving;University of Pitesti
429;Which President established Thanksgiving as an annual national holiday, to be celebrated on the last Thursday of November.;;0.05;History;Thanksgiving;University of Pitesti
430;Who brought the majority of food for the first Thanksgiving Dinner?;;0.12;History;Thanksgiving;University of Pitesti
431;This State produces more sweet potatoes than any other (588 of the total 1.6 billion pounds  US production)?;;0.65;History;Thanksgiving;University of Pitesti
432;What is Hominy made from?;;0.59;History;Thanksgiving;University of Pitesti
433;This year in October was the first time that all thirteen colonies joined in a young nations first Thanksgiving.  It was also the year the British were defeated at Saratoga?;;0.76;History;Thanksgiving;University of Pitesti
434;How is it that the American Indian credited with saving the Plymouth Colonist, spoke English?;;0.6;History;Thanksgiving;University of Pitesti
435;Of the 658 million pounds of cranberries produced in the US annually, this state leads the pack with 356 lbs. of production.;;0.73;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
436;Let's talk TURKEY! There are several States in the U.S. with towns named Turkey.  Which of these can boast the most populous Turkey town (507 residence as of 2004)?;;0.15;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
437;According to the Butterball Company, how many pounds of turkey are consumed on Thanksgiving?;;0.04;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
438;We know that wild turkeys fly for only short distances.  How fast can they fly?;;0.69;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
439;What other purpose (Besides wiping your hands and mouth) did large cloth napkins serve at the pilgrims table?;;0.15;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
440;What was the original destination plan for the Pilgrims of the Plymouth Plantation?;;0.72;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
441;This State produces more pumpkins than any other (326 of the 805 pounds of US production)?;;0.54;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
442;Baby Turkeys are known as this?;;0.5;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
443;What type of homes did the Wampanoag Indians live in and what where they called.;;0.99;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
444;The Pilgrims sought other alternatives for religious freedom before coming to America (Their second choice).  Where did they first go.;;0.34;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
445;This American forefather scoffed at the idea of a national day of thanksgiving;;0.97;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
446;The woman perhaps most responsible for our national day of thanksgiving was named Sarah Josepha Hale. What was the name of the magazine she edited.;;0.79;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
447;The ancient Chinese harvest festival Chung Ch'ui was celebrated on the 15th day of the 8th month.  This day was also believed to be this?;;0.5;History;Thanksgiving;"""1 Decembrie 1918"" University of Alba-Iulia"
448;How does what we know about the world shape the stories we tell?;;0.5;Universal Literature;Literature Analysis;University of Pitesti
449;How do the stories we tell about the world shape the way we view ourselves?;;0.22;Universal Literature;Literature Analysis;University of Pitesti
450;How do our personal experiences shape our view of others?;;0.16;Universal Literature;Literature Analysis;University of Pitesti
451;What does it mean to be an insider or an outsider?;;0.54;Universal Literature;Literature Analysis;University of Pitesti
452;Are there universal themes in literature that are of interest or concern to all cultures and societies?;;0.95;Universal Literature;Literature Analysis;University of Pitesti
453;What are the characteristics or elements that cause a piece of literature to endure?;;0.09;Universal Literature;Literature Analysis;University of Pitesti
454;What are the major characteristics of traditional literature?;;0.44;Universal Literature;Movements;University of Pitesti
455;Why is secular literature an important source of history?;;0.69;Universal Literature;Movements;University of Pitesti
456;What is Socialist Realism in literature?;;0.82;Universal Literature;Movements;University of Pitesti
457;Who are the ghosts in ''The Woman Warrior''?;;0.47;Universal Literature;Movements;University of Pitesti
458;"Does the work of Toni Morrison and Octavia Butler have any common themes or concerns? Show how. Please, support your answer by quoting from Morrison's ""Recitatif"" and Butler's ""Bloodchild, ""Imago""...";;0.08;Universal Literature;Movements;University of Pitesti
459;Where is the beach house in The Ghost Writer?;;0.11;Universal Literature;Movements;University of Pitesti
460;What is philosophical literature?;;0.58;Universal Literature;Movements;University of Pitesti
461;"Was the poem ""A Word to Husbands"" written by Ogden Nash?";;0.56;Universal Literature;Movements;University of Pitesti
462;What is the theme of The Body Snatcher?;;0.64;Universal Literature;Movements;University of Pitesti
463;What genre is The Princess Bride?;;0.92;Universal Literature;Movements;University of Pitesti
464;Who illustrated The Little Prince?;;0.57;Universal Literature;Movements;University of Pitesti
465;"In A Sentimental Journey, by Lawrence, how can the ""modern self"" be addressed in Yorick?";;0.21;Universal Literature;Movements;University of Pitesti
466;"Who wrote ""The Three Little Pigs"" fairy tale?";;0.74;Universal Literature;Movements;University of Pitesti
467;"What is Henry James' ""The Real Thing"" about?";;0.46;Universal Literature;Movements;University of Pitesti
468;"Choose a passage in the poem ""Stopping by Woods on a Snowy Evening"" by Robert Frost and discuss the imagery that he uses.";;0.45;Universal Literature;Movements;University of Pitesti
469;In the poem Annabel Lee, according to the narrator, why was his love taken away from him?;;0.23;Universal Literature;Movements;University of Pitesti
470;How do the woods act as an obstacle to keeping promises in Stopping by Woods on a Snowy Evening?;;0.7;Universal Literature;Movements;University of Pitesti
471;"What is a figure of speech used in the poem ""Stopping by Woods on a Snowy Evening""?";;0.7;Universal Literature;Movements;University of Pitesti
472;How do you write clinchers in a book report?;;0.88;Universal Literature;Movements;University of Pitesti
473;What is parallelism?;;0.35;Universal Literature;Movements;University of Pitesti
474;Are two atoms of the same element identical?;;0.34;Physics 101;Physical States;University of Pitesti
475;Can water stay liquid below zero degrees Celsius?;;0.46;Physics 101;Physical States;University of Pitesti
476;Can you light diamond on fire?;;0.11;Physics 101;Physical States;University of Pitesti
477;How bad of an alcoholic do you have to be to have your brain affected?;;0.49;Physics 101;Physical States;University of Pitesti
478;How can glass be a liquid if it's so hard?;;0.24;Physics 101;Physical States;University of Pitesti
479;How do I know if something is an acid so I can avoid eating it?;;0.79;Physics 101;Physical States;University of Pitesti
480;How do plants get their nitrogen from the air?;;0.18;Physics 101;Physical States;University of Pitesti
481;How does dissolving a salt molecule in water make its atoms ionize?;;0.49;Physics 101;Physical States;University of Pitesti
482;How does plasma make a campfire flame orange?;;0.38;Physics 101;Physical States;University of Pitesti
483;How does tomato juice make skunk smell go away?;;0.9;Physics 101;Physical States;University of Pitesti
484;What is it about the ocean that makes it look blue when it reflects the sky?;;0.12;Physics 101;Physical States;University of Pitesti
485;What is the difference between a chemical process and a physical process in chemistry?;;0.4;Physics 101;Physical States;University of Pitesti
486;What kind of crystal are crystal drinking glasses made out of?;;0.56;Physics 101;Physical States;University of Pitesti
487;What made the hole in the ozone go away?;;0.9;Physics 101;Physical States;University of Pitesti
488;"What makes a ""fluorescent"" highlighter marker so bright?";;0.21;Physics 101;Physical States;University of Pitesti
489;When does the breaking of chemical bonds release energy?;;0.56;Physics 101;Physical States;University of Pitesti
490;When hang-drying clothes, which is faster, indoors or outdoors?;;0.66;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
491;Which sunscreens are chemical-free?;;0.16;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
492;Why are crystals rare?;;0.46;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
493;Why are there so many different kinds of forces in chemistry?;;0.04;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
494;Why do atoms always contain the same number of electrons and protons?;;0.33;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
495;Why doesn't the planet Uranus explode if it contains so much hydrogen and methane?;;0.18;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
496;Why don't metals burn?;;0.84;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
497;Why don't objects fuse to my finger when I touch them?;;0.94;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
498;Why is ice slippery?;;0.37;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
499;Why is lead used in pencils even though lead is poisonous?;;0.08;Chemistry 101;Elements;University of Agronomic Sciences and Veterinary Medicine Bucharest
500;Why is mass conserved in chemical reactions?;;0.54;Chemistry 101;Elements;University of Agronomic Sciences and Veterinary Medicine Bucharest
501;Why is plastic not used in home construction?;;0.04;Chemistry 101;Elements;University of Agronomic Sciences and Veterinary Medicine Bucharest
502;Why is propane stored in household tanks but natural gas is not?;;0.41;Chemistry 101;Elements;University of Agronomic Sciences and Veterinary Medicine Bucharest
503;As light from a star spreads out and weakens, do gaps form between the photons?;;0.03;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
504;Can a fire have a shadow?;;0.64;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
505;Can air make shadows?;;0.53;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
506;Can gold be created from other elements?;;0.27;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
507;Can light bend around corners?;;0.82;Physics 101;Physical States;"""1 Decembrie 1918"" University of Alba-Iulia"
508;Can momentum be hidden to human eyes like how kinetic energy can be hidden as heat?;;0.85;Physics 101;Particles;University of Pitesti
509;Can one bit of light bounce off another bit of light?;;0.85;Physics 101;Particles;University of Pitesti
510;Can radio antennas emit visible light?;;0.49;Physics 101;Particles;University of Pitesti
511;Can sound waves generate heat?;;0.36;Physics 101;Waves;University of Pitesti
512;Can the decay half-life of a radioactive material be changed?;;0.26;Physics 101;Particles;University of Pitesti
513;Can you go fast enough to get enough mass to become a black hole?;;0.56;Physics 101;Quantum mechanics;University of Pitesti
514;Can you make a shock wave of light by breaking the light barrier just like supersonic airplanes break the sound barrier?;;0.7;Physics 101;Waves;University of Pitesti
515;Can you make a sunset in a cup of milk?;;0.61;Physics 101;Waves;University of Pitesti
516;Could electronic devices charge themselves without being plugged into an electricity source?;;0.92;Physics 101;Electricity;University of Pitesti
517;Could scientists perfectly simulate the entire universe in a computer, down to the last atom?;;0.67;Physics 101;Physical States;University of Pitesti
518;Do atoms ever actually touch each other?;;0.77;Physics 101;Physical States;University of Pitesti
519;Do flames contain plasma?;;0.57;Physics 101;Electricity;University of Pitesti
520;Does a source of electricity ever run out of electrons?;;0.9;Physics 101;Electricity;University of Pitesti
521;Does an atom have a color?;;0.94;Physics 101;Quantum mechanics;University of Pitesti
522;Does an electron in an atom move at all?;;0.15;Physics 101;Quantum mechanics;University of Pitesti
523;Does the negative mass of antimatter mean that it's gravitationally repelled from stars?;;0.92;Physics 101;Quantum mechanics;University of Pitesti
524;Does time go faster at the top of a building compared to the bottom?;;0.65;Physics 101;Quantum mechanics;University of Pitesti
525;How bad would a person's injuries be if an elevator's cables snapped at the 100th floor so that the elevator fell to the bottom?;;0.86;Physics 101;Quantum mechanics;University of Pitesti
526;How can a clear object be transparent and visible at the same time?;;0.12;Physics 101;Quantum mechanics;University of Pitesti
527;How can a material at a certain temperature have all of its molecules at the same energy?;;0.8;Physics 101;Quantum mechanics;University of Pitesti
528;How can an electron leap between atomic levels without passing through all the space in between?;;0.19;Physics 101;Quantum mechanics;University of Pitesti
529;How can it be so hard to drag rubber across smooth glass if friction is caused by surface roughness?;;0.31;Physics 101;Quantum mechanics;University of Pitesti
530;How can radioactive decay just happen with nothing triggering it?;;0.08;Physics 101;Quantum mechanics;University of Pitesti
531;How can we travel to the past?;;0.83;Physics 101;Quantum mechanics;University of Pitesti
532;How did Archimedes use mirrors to burn up invaders' ships?;;0.6;Physics 101;Energy;University of Pitesti
533;How do airplanes fly upside down if it's the shape of the wings that make them fly?;;0.66;Physics 101;Energy;University of Pitesti
534;How do free energy machines work?;;0.96;Physics 101;Energy;University of Pitesti
535;How do levers create energy if the conservation of energy does not allow energy to be created?;;0.78;Physics 101;Energy;University of Pitesti
536;How do projectors project the color black?;;0.97;Physics 101;Energy;University of Pitesti
537;How do scientists cool objects to absolute zero?;;0.58;Physics 101;Energy;University of Pitesti
538;How do tractor beams work?;;0.84;Physics 101;Energy;University of Pitesti
539;How do you focus regular light to make it a laser beam?;;0.25;Physics 101;Energy;University of Pitesti
540;How do you make a one-photon-thick beam of light?;;0.66;Physics 101;Energy;University of Pitesti
541;How does a microwave oven heat up food even though it emits no thermal radiation?;;0.65;Physics 101;Energy;University of Pitesti
542;How does a penny left on the track derail a train?;;0.95;Physics 101;Energy;University of Pitesti
543;How does a photon accelerate to light speed so quickly?;;0.69;Physics 101;Energy;University of Pitesti
544;How does quantum theory allow a rock to turn suddenly into a duck?;;0.97;Physics 101;Quantum mechanics;University of Pitesti
545;How does sound going slower in water make it hard to talk to someone underwater?;;0.53;Physics 101;Energy;University of Pitesti
546;How high does a building have to be for a penny dropped from the top to kill a person on the ground?;;0.7;Physics 101;Energy;University of Pitesti
547;How is a magnetic field just an electric field with relativity applied?;;0.9;Physics 101;Energy;University of Pitesti
548;How long can you use a cell phone before getting a brain tumor?;;0.59;Physics 101;Energy;University of Pitesti
549;If I hammered and flattened a penny enough, could I cover the entire earth with it?;;0.3;Physics 101;Energy;University of Pitesti
550;If I'm on an elevator that breaks loose and plummets down the shaft, can I avoid harm by jumping at the last second?;;0.69;Physics 101;Energy;University of Pitesti
551;Is it possible to create magnetic waves?;;0.29;Physics 101;Energy;University of Pitesti
552;Is light a particle or a wave?;;0.43;Physics 101;Quantum mechanics;University of Pitesti
553;Is metal a good heat shield?;;0.03;Physics 101;Quantum mechanics;University of Pitesti
554;Is the reason that nothing can go faster than light because we have not tried hard enough?;;0.89;Physics 101;Quantum mechanics;University of Pitesti
555;Is there any difference between antimatter, dark matter, dark energy, and degenerate matter?;;0.44;Physics 101;Quantum mechanics;University of Pitesti
556;Light has no mass so it also has no energy according to Einstein, but how can sunlight warm the earth without energy?;;0.01;Physics 101;Quantum mechanics;University of Pitesti
557;Since gravity is unlimited, can we use it as an infinite energy source?;;0.82;Physics 101;Quantum mechanics;University of Pitesti
558;What are some other ways to save energy in a car besides turning off the air conditioner and rolling down the windows?;;0.99;Physics 101;Quantum mechanics;University of Pitesti
559;What did Schrodinger's Cat experiment prove?;;0.29;Physics 101;Quantum mechanics;University of Pitesti
560;What is the shape of an electron?;;0.62;Physics 101;Quantum mechanics;University of Pitesti
561;What is the speed of dark?;;0.31;Physics 101;Quantum mechanics;University of Pitesti
562;What is the speed of electricity?;;0.74;Physics 101;Quantum mechanics;University of Pitesti
563;What is the speed of gravity?;;0.28;Physics 101;Quantum mechanics;University of Pitesti
564;What is the strongest magnetic field possible? Is there a limit?;;0.11;Physics 101;Quantum mechanics;University of Pitesti
565;What keeps a bicycle balanced?;;0.08;Physics 101;Quantum mechanics;University of Pitesti
566;What makes heat rise?;;0.67;Physics 101;Quantum mechanics;University of Pitesti
567;What makes radioactive atoms get old so quickly and decay?;;0.02;Physics 101;Quantum mechanics;University of Pitesti
568;What makes the light waves in laser light parallel?;;0.46;Physics 101;Quantum mechanics;University of Pitesti
569;What psychological effect makes notes on a piano that are an octave apart sound the same?;;0.32;Physics 101;Quantum mechanics;University of Pitesti
570;What stops a piece of paper from being folded more than seven times?;;0.92;Physics 101;Quantum mechanics;University of Pitesti
571;What would happen if you drove your car close to the speed of light and turned on the headlights?;;0.72;Physics 101;Quantum mechanics;University of Pitesti
572;When does a light beam have only a single frequency?;;0.09;Physics 101;Quantum mechanics;University of Pitesti
573;When I bump one end of a long metal bar, the other end instantaneously moves. Can I use this to send messages faster than light?;;0.07;Physics 101;Quantum mechanics;University of Pitesti
574;When I sit by a campfire, how does its hot air heat me?;;0.06;Physics 101;Quantum mechanics;University of Pitesti
575;When I step out of the shower, what makes the tile floor so much colder than the bathroom mat?;;0.62;Physics 101;Quantum mechanics;University of Pitesti
576;Why are all metals magnetic?;;0.68;Physics 101;Quantum mechanics;University of Pitesti
577;Why are sound waves invisible?;;0.79;Physics 101;Quantum mechanics;University of Pitesti
578;Why are the microwaves in a microwave oven tuned to water?;;0.83;Physics 101;Quantum mechanics;University of Pitesti
579;Why are there only six fundamental colors: red, orange, yellow, green, blue, and violet?;;0.62;Physics 101;Energy;University of Pitesti
580;Why can't flat lenses focus light?;;0.83;Physics 101;Energy;University of Pitesti
581;Why do diamonds last forever?;;0.7;Physics 101;Electricity;University of Pitesti
582;Why do mirrors flip left to right and not up to down?;;0.5;Physics 101;Quantum mechanics;University of Pitesti
583;Why do quantum effects only happen on the atomic scale?;;0.43;Physics 101;Electricity;University of Pitesti
584;Why does a rainbow contain a pure spread of spectral colors?;;0.95;Physics 101;Electricity;University of Pitesti
585;Why does a rainbow exist only in a narrow band?;;0.73;Physics 101;Electricity;University of Pitesti
586;Why does air friction affect a car's gas mileage?;;1;Physics 101;Electricity;University of Pitesti
587;Why does lightning push electricity through air, but common batteries do not?;;0.6;Physics 101;Electricity;University of Pitesti
588;Why does my room get dark when I turn the lights off even if my window is shut?;;0.59;Physics 101;Electricity;University of Pitesti
589;Why does water make a shirt darker?;;0.82;Physics 101;Electricity;University of Pitesti
590;Why doesn't light carry momentum?;;0.68;Physics 101;Quantum mechanics;University of Pitesti
591;Why doesn't my laptop emit radiation?;;0.41;Physics 101;Quantum mechanics;University of Pitesti
592;Why don't atoms collapse if they are mostly empty space?;;0.44;Physics 101;Quantum mechanics;University of Pitesti
593;Why don't electrons in the atom enter the nucleus?;;0.15;Physics 101;Quantum mechanics;University of Pitesti
594;Why don't I feel the miles of air above me that are crushing me down?;;0.87;Physics 101;Electricity;University of Pitesti
595;Why don't scientists use fractal concepts more considering that fractals are everywhere?;;0.99;Physics 101;Electricity;University of Pitesti
596;Why is a 12-volt household battery harmless, but the shock from a 12-volt car battery will kill you?;;0.9;Physics 101;Electricity;University of Pitesti
597;Why is gravity not a real force?;;0.02;Physics 101;Quantum mechanics;University of Pitesti
598;Why is light pure energy?;;0.64;Physics 101;Quantum mechanics;University of Pitesti
599;Why is physics scale invariant?;;0.13;Physics 101;Quantum mechanics;University of Pitesti
600;Why is the centrifugal force talked about so much if it's not real?;;0.72;Physics 101;Forces;University of Pitesti
601;Why is the lowest temperature called absolute zero if it's relative to the frame of reference?;;0.79;Physics 101;Energy;University of Pitesti
602;Why is time frozen from light's perspective?;;0.81;Physics 101;Quantum mechanics;University of Pitesti
603;Why was color invented by humans?;;0.25;Physics 101;Quantum mechanics;University of Pitesti
604;Why were electrons chosen to be negatively charged? Wouldn't it make more sense to call electrons positively charged because when they move they make electricity?;;0.05;Physics 101;Quantum mechanics;University of Pitesti
605;Why will a delivery truck filled with birds sitting on its floor be heavier than a truck with the same birds flying around inside.;;0.54;Physics 101;Forces;University of Pitesti
606;(a) Calculate Earth’s average speed relative to the Sun. (b) What is its average velocity over a period of one year?;;0.62;Physics 101;Forces;University of Pitesti
607;A helicopter blade spins at exactly 100 revolutions per minute. Its tip is 5.00 m from the center of rotation. (a) Calculate the average speed of the blade tip in the helicopter’s frame of reference. (b) What is its average velocity over one revolution?;;0.9;Physics 101;Forces;University of Pitesti
608;The North American and European continents are moving apart at a rate of about 3 cm/y. At this rate how long will it take them to drift 500 km farther apart than they are at present?;;0.37;Physics 101;Forces;University of Pitesti
609;Land west of the San Andreas fault in southern California is moving at an average velocity of about 6 cm/y northwest relative to land east of the fault. Los Angeles is west of the fault and may thus someday be at the same latitude as San Francisco, which is east of the fault. How far in the future will this occur if the displacement to be made is 590 km northwest, assuming the motion remains constant?;;0.86;Physics 101;Forces;University of Pitesti
610;On May 26, 1934, a streamlined, stainless steel diesel train called the Zephyr set the world’s nonstop long-distance speed record for trains. Its run from Denver to Chicago took 13 hours, 4 minutes, 58 seconds, and was witnessed by more than a million people along the route. The total distance traveled was 1633.8 km. What was its average speed in km/h and m/s?;;0.17;Physics 101;Forces;University of Pitesti
611;Tidal friction is slowing the rotation of the Earth. As a result, the orbit of the Moon is increasing in radius at a rate of approximately 4 cm/year. Assuming this to be a constant rate, how many years will pass before the radius of the Moon’s orbit increases by 3.84×106m (1%)?;;0.39;Physics 101;Forces;University of Pitesti
612;A student drove to the university from her home and noted that the odometer reading of her car increased by 12.0 km. The trip took 18.0 min. (a) What was her average speed? (b) If the straight-line distance from her home to the university is 10.3 km in a direction 25.0º south of east, what was her average velocity? (c) If she returned home by the same path 7 h 30 min after she left, what were her average speed and velocity for the entire trip?;;0.59;Physics 101;Forces;University of Pitesti
613;The speed of propagation of the action potential (an electrical signal) in a nerve cell depends (inversely) on the diameter of the axon (nerve fiber). If the nerve cell connecting the spinal cord to your feet is 1.1 m long, and the nerve impulse speed is 18 m/s, how long does it take for the nerve signal to travel this distance?;;0.65;Physics 101;Forces;University of Pitesti
614;Conversations with astronauts on the lunar surface were characterized by a kind of echo in which the earthbound person’s voice was so loud in the astronaut’s space helmet that it was picked up by the astronaut’s microphone and transmitted back to Earth. It is reasonable to assume that the echo time equals the time necessary for the radio wave to travel from the Earth to the Moon and back (that is, neglecting any time delays in the electronic equipment). Calculate the distance from Earth to the Moon given that the echo time was 2.56 s and that radio waves travel at the speed of light (3.00×108m/s).;;0.35;Physics 101;Forces;University of Pitesti
615;A football quarterback runs 15.0 m straight down the playing field in 2.50 s. He is then hit and pushed 3.00 m straight backward in 1.75 s. He breaks the tackle and runs straight forward another 21.0 m in 5.20 s. Calculate his average velocity (a) for each of the three intervals and (b) for the entire motion.;;0.72;Physics 101;Forces;University of Pitesti
616;The planetary model of the atom pictures electrons orbiting the atomic nucleus much as planets orbit the Sun. In this model you can view hydrogen, the simplest atom, as having a single electron in a circular orbit 1.06×10−10m in diameter. (a) If the average speed of the electron in this orbit is known to be 2.20×106m/s, calculate the number of revolutions per second it makes about the nucleus. (b) What is the electron’s average velocity per revolution?;;0.53;Physics 101;Forces;University of Pitesti
617;Calculate the displacement and velocity at times of (a) 0.500, (b) 1.00, (c) 1.50, and (d) 2.00 s for a ball thrown straight up with an initial velocity of 15.0 m/s. Take the point of release to be y0=0.;;0.44;Physics 101;Forces;University of Pitesti
618;Calculate the displacement and velocity at times of (a) 0.500, (b) 1.00, (c) 1.50, (d) 2.00, and (e) 2.50 s for a rock thrown straight down with an initial velocity of 14.0 m/s from the Verrazano Narrows Bridge in New York City. The roadway of this bridge is 70.0 m above the water.;;0.39;Physics 101;Forces;University of Pitesti
619;A basketball referee tosses the ball straight up for the starting tip-off. At what velocity must a basketball player leave the ground to rise 1.25 m above the floor in an attempt to get the ball?;;0.96;Physics 101;Forces;University of Pitesti
620;A rescue helicopter is hovering over a person whose boat has sunk. One of the rescuers throws a life preserver straight down to the victim with an initial velocity of 1.40 m/s and observes that it takes 1.8 s to reach the water. (a) List the knowns in this problem. (b) How high above the water was the preserver released? Note that the downdraft of the helicopter reduces the effects of air resistance on the falling life preserver, so that an acceleration equal to that of gravity is reasonable.;;0.5;Physics 101;Forces;University of Pitesti
621;A dolphin in an aquatic show jumps straight up out of the water at a velocity of 13.0 m/s. (a) List the knowns in this problem. (b) How high does his body rise above the water? To solve this part, first note that the final velocity is now a known and identify its value. Then identify the unknown, and discuss how you chose the appropriate equation to solve for it. After choosing the equation, show your steps in solving for the unknown, checking units, and discuss whether the answer is reasonable. (c) How long is the dolphin in the air? Neglect any effects due to his size or orientation.;;0.69;Physics 101;Forces;University of Pitesti
622;A swimmer bounces straight up from a diving board and falls feet first into a pool. She starts with a velocity of 4.00 m/s, and her takeoff point is 1.80 m above the pool. (a) How long are her feet in the air? (b) What is her highest point above the board? (c) What is her velocity when her feet hit the water?;;0.62;Physics 101;Forces;University of Pitesti
623;(a) Calculate the height of a cliff if it takes 2.35 s for a rock to hit the ground when it is thrown straight up from the cliff with an initial velocity of 8.00 m/s. (b) How long would it take to reach the ground if it is thrown straight down with the same speed?;;0.33;Physics 101;Forces;University of Pitesti
624;A very strong, but inept, shot putter puts the shot straight up vertically with an initial velocity of 11.0 m/s. How long does he have to get out of the way if the shot was released at a height of 2.20 m, and he is 1.80 m tall?;;0.53;Physics 101;Forces;University of Pitesti
625;You throw a ball straight up with an initial velocity of 15.0 m/s. It passes a tree branch on the way up at a height of 7.00 m. How much additional time will pass before the ball passes the tree branch on the way back down?;;0.36;Physics 101;Forces;University of Pitesti
626;A kangaroo can jump over an object 2.50 m high. (a) Calculate its vertical speed when it leaves the ground. (b) How long is it in the air?;;0.63;Physics 101;Forces;University of Pitesti
627;Standing at the base of one of the cliffs of Mt. Arapiles in Victoria, Australia, a hiker hears a rock break loose from a height of 105 m. He can’t see the rock right away but then does, 1.50 s later. (a) How far above the hiker is the rock when he can see it? (b) How much time does he have to move before the rock hits his head?;;0.33;Physics 101;Forces;University of Pitesti
628;An object is dropped from a height of 75.0 m above ground level. (a) Determine the distance traveled during the first second. (b) Determine the final velocity at which the object hits the ground. (c) Determine the distance traveled during the last second of motion before hitting the ground.;;0.26;Physics 101;Forces;University of Pitesti
629;There is a 250-m-high cliff at Half Dome in Yosemite National Park in California. Suppose a boulder breaks loose from the top of this cliff. (a) How fast will it be going when it strikes the ground? (b) Assuming a reaction time of 0.300 s, how long will a tourist at the bottom have to get out of the way after hearing the sound of the rock breaking loose (neglecting the height of the tourist, which would become negligible anyway if hit)? The speed of sound is 335 m/s on this day.;;0.56;Physics 101;Forces;University of Pitesti
630;A ball is thrown straight up. It passes a 2.00-m-high window 7.50 m off the ground on its path up and takes 0.312 s to go past the window. What was the ball’s initial velocity? Hint: First consider only the distance along the window, and solve for the ball's velocity at the bottom of the window. Next, consider only the distance from the ground to the bottom of the window, and solve for the initial velocity using the velocity at the bottom of the window as the final velocity.;;0.35;Physics 101;Forces;University of Pitesti
631;Suppose you drop a rock into a dark well and, using precision equipment, you measure the time for the sound of a splash to return. (a) Neglecting the time required for sound to travel up the well, calculate the distance to the water if the sound returns in 2.0000 s. (b) Now calculate the distance taking into account the time for sound to travel up the well. The speed of sound is 332.00 m/s in this well.;;0.58;Physics 101;Forces;University of Pitesti
